CO_ID,CoName,Date,Close,Volume
0050   ,Yuanta Taiwan Top50,20100104,   41.91,    20083
0056   ,PTD          ,20100104,   15.49,      281
0050   ,Yuanta Taiwan Top50,20100105,   41.91,    16453
0056   ,PTD          ,20100105,   15.42,      711
0050   ,Yuanta Taiwan Top50,20100106,   42.69,    19012
0056   ,PTD          ,20100106,   15.66,      402
0050   ,Yuanta Taiwan Top50,20100107,   42.58,    14110
0056   ,PTD          ,20100107,   15.52,     1223
0050   ,Yuanta Taiwan Top50,20100108,   42.84,    11342
0056   ,PTD          ,20100108,   15.69,      354
0050   ,Yuanta Taiwan Top50,20100111,   42.95,    11581
0056   ,PTD          ,20100111,   15.85,      628
0050   ,Yuanta Taiwan Top50,20100112,   42.72,     7306
0056   ,PTD          ,20100112,   15.77,      193
0050   ,Yuanta Taiwan Top50,20100113,   42.09,    16686
0056   ,PTD          ,20100113,   15.60,      269
0050   ,Yuanta Taiwan Top50,20100114,   42.61,     9978
0056   ,PTD          ,20100114,   15.82,      416
0050   ,Yuanta Taiwan Top50,20100115,   42.87,     8425
0056   ,PTD          ,20100115,   15.90,      364
0050   ,Yuanta Taiwan Top50,20100118,   42.65,     5019
0056   ,PTD          ,20100118,   15.83,      304
0050   ,Yuanta Taiwan Top50,20100119,   42.09,     6724
0056   ,PTD          ,20100119,   15.81,      198
0050   ,Yuanta Taiwan Top50,20100120,   41.83,    23397
0056   ,PTD          ,20100120,   15.62,      746
0050   ,Yuanta Taiwan Top50,20100121,   41.50,    13862
0056   ,PTD          ,20100121,   15.47,      207
0050   ,Yuanta Taiwan Top50,20100122,   40.35,    29477
0056   ,PTD          ,20100122,   15.19,      281
0050   ,Yuanta Taiwan Top50,20100125,   40.20,    12845
0056   ,PTD          ,20100125,   15.13,      184
0050   ,Yuanta Taiwan Top50,20100126,   39.28,    26395
0056   ,PTD          ,20100126,   14.86,     1136
0050   ,Yuanta Taiwan Top50,20100127,   39.24,    14855
0056   ,PTD          ,20100127,   14.57,      396
0050   ,Yuanta Taiwan Top50,20100128,   40.09,    12622
0056   ,PTD          ,20100128,   14.82,      159
0050   ,Yuanta Taiwan Top50,20100129,   39.31,    13799
0056   ,PTD          ,20100129,   14.73,      240
0050   ,Yuanta Taiwan Top50,20100201,   38.87,    19637
0056   ,PTD          ,20100201,   14.59,      142
0050   ,Yuanta Taiwan Top50,20100202,   38.46,    11987
0056   ,PTD          ,20100202,   14.50,      328
0050   ,Yuanta Taiwan Top50,20100203,   39.13,    13598
0056   ,PTD          ,20100203,   14.68,      173
0050   ,Yuanta Taiwan Top50,20100204,   38.98,     5940
0056   ,PTD          ,20100204,   14.63,      136
0050   ,Yuanta Taiwan Top50,20100205,   37.64,    24216
0056   ,PTD          ,20100205,   13.98,      518
0050   ,Yuanta Taiwan Top50,20100206,   37.98,    20632
0056   ,PTD          ,20100206,   14.07,      289
0050   ,Yuanta Taiwan Top50,20100208,   37.72,    18165
0056   ,PTD          ,20100208,   14.07,      262
0050   ,Yuanta Taiwan Top50,20100209,   38.24,    11269
0056   ,PTD          ,20100209,   14.34,      208
0050   ,Yuanta Taiwan Top50,20100210,   38.65,    11276
0056   ,PTD          ,20100210,   14.47,      223
0050   ,Yuanta Taiwan Top50,20100222,   39.02,    11224
0056   ,PTD          ,20100222,   14.57,      241
0050   ,Yuanta Taiwan Top50,20100223,   39.02,     9598
0056   ,PTD          ,20100223,   14.69,      152
0050   ,Yuanta Taiwan Top50,20100224,   38.76,    11037
0056   ,PTD          ,20100224,   14.55,      145
0050   ,Yuanta Taiwan Top50,20100225,   38.31,    20470
0056   ,PTD          ,20100225,   14.48,      146
0050   ,Yuanta Taiwan Top50,20100226,   38.24,     9391
0056   ,PTD          ,20100226,   14.44,      146
0050   ,Yuanta Taiwan Top50,20100301,   39.16,    13647
0056   ,PTD          ,20100301,   14.73,      156
0050   ,Yuanta Taiwan Top50,20100302,   39.05,     9997
0056   ,PTD          ,20100302,   14.60,      125
0050   ,Yuanta Taiwan Top50,20100303,   39.05,     8764
0056   ,PTD          ,20100303,   14.70,       88
0050   ,Yuanta Taiwan Top50,20100304,   38.72,     8149
0056   ,PTD          ,20100304,   14.60,       54
0050   ,Yuanta Taiwan Top50,20100305,   39.28,    13619
0056   ,PTD          ,20100305,   14.77,       83
0050   ,Yuanta Taiwan Top50,20100308,   39.79,    16985
0056   ,PTD          ,20100308,   14.96,      119
0050   ,Yuanta Taiwan Top50,20100309,   39.91,     7770
0056   ,PTD          ,20100309,   14.89,      136
0050   ,Yuanta Taiwan Top50,20100310,   39.91,     6842
0056   ,PTD          ,20100310,   14.96,       94
0050   ,Yuanta Taiwan Top50,20100311,   39.79,     6657
0056   ,PTD          ,20100311,   14.82,      122
0050   ,Yuanta Taiwan Top50,20100312,   39.76,    12617
0056   ,PTD          ,20100312,   14.77,       42
0050   ,Yuanta Taiwan Top50,20100315,   39.20,    10347
0056   ,PTD          ,20100315,   14.65,      189
0050   ,Yuanta Taiwan Top50,20100316,   39.39,    13206
0056   ,PTD          ,20100316,   14.68,      126
0050   ,Yuanta Taiwan Top50,20100317,   40.17,    14910
0056   ,PTD          ,20100317,   14.83,      149
0050   ,Yuanta Taiwan Top50,20100318,   40.35,     8609
0056   ,PTD          ,20100318,   14.93,      142
0050   ,Yuanta Taiwan Top50,20100319,   40.24,     5394
0056   ,PTD          ,20100319,   14.95,       85
0050   ,Yuanta Taiwan Top50,20100322,   39.83,     7376
0056   ,PTD          ,20100322,   14.96,      103
0050   ,Yuanta Taiwan Top50,20100323,   39.57,     8078
0056   ,PTD          ,20100323,   14.93,      157
0050   ,Yuanta Taiwan Top50,20100324,   39.68,    19134
0056   ,PTD          ,20100324,   14.93,      106
0050   ,Yuanta Taiwan Top50,20100325,   39.68,    14547
0056   ,PTD          ,20100325,   14.96,      124
0050   ,Yuanta Taiwan Top50,20100326,   40.05,    11520
0056   ,PTD          ,20100326,   14.96,      109
0050   ,Yuanta Taiwan Top50,20100329,   40.43,    16278
0056   ,PTD          ,20100329,   14.97,      196
0050   ,Yuanta Taiwan Top50,20100330,   40.39,     7592
0056   ,PTD          ,20100330,   14.96,      212
0050   ,Yuanta Taiwan Top50,20100331,   40.24,    10909
0056   ,PTD          ,20100331,   15.03,       99
0050   ,Yuanta Taiwan Top50,20100401,   40.61,    12561
0056   ,PTD          ,20100401,   15.14,      139
0050   ,Yuanta Taiwan Top50,20100402,   40.61,     5653
0056   ,PTD          ,20100402,   15.13,      147
0050   ,Yuanta Taiwan Top50,20100406,   41.02,    15860
0056   ,PTD          ,20100406,   15.24,      384
0050   ,Yuanta Taiwan Top50,20100407,   41.09,     6597
0056   ,PTD          ,20100407,   15.37,      317
0050   ,Yuanta Taiwan Top50,20100408,   40.83,     9030
0056   ,PTD          ,20100408,   15.31,      197
0050   ,Yuanta Taiwan Top50,20100409,   40.94,     6178
0056   ,PTD          ,20100409,   15.33,      109
0050   ,Yuanta Taiwan Top50,20100412,   41.13,     8812
0056   ,PTD          ,20100412,   15.33,      137
0050   ,Yuanta Taiwan Top50,20100413,   40.65,    11543
0056   ,PTD          ,20100413,   15.17,      185
0050   ,Yuanta Taiwan Top50,20100414,   40.94,     8277
0056   ,PTD          ,20100414,   15.29,      199
0050   ,Yuanta Taiwan Top50,20100415,   41.20,    12427
0056   ,PTD          ,20100415,   15.37,      161
0050   ,Yuanta Taiwan Top50,20100416,   40.94,    11167
0056   ,PTD          ,20100416,   15.41,      147
0050   ,Yuanta Taiwan Top50,20100419,   39.79,    14074
0056   ,PTD          ,20100419,   14.97,      359
0050   ,Yuanta Taiwan Top50,20100420,   39.94,     6757
0056   ,PTD          ,20100420,   15.16,      223
0050   ,Yuanta Taiwan Top50,20100421,   40.46,     7299
0056   ,PTD          ,20100421,   15.19,      243
0050   ,Yuanta Taiwan Top50,20100422,   40.39,     8147
0056   ,PTD          ,20100422,   15.16,      160
0050   ,Yuanta Taiwan Top50,20100423,   40.61,     8918
0056   ,PTD          ,20100423,   15.17,      335
0050   ,Yuanta Taiwan Top50,20100426,   41.46,    11153
0056   ,PTD          ,20100426,   15.39,      699
0050   ,Yuanta Taiwan Top50,20100427,   41.43,     5510
0056   ,PTD          ,20100427,   15.40,      250
0050   ,Yuanta Taiwan Top50,20100428,   40.98,     7436
0056   ,PTD          ,20100428,   15.37,      355
0050   ,Yuanta Taiwan Top50,20100429,   40.80,     5085
0056   ,PTD          ,20100429,   15.41,      168
0050   ,Yuanta Taiwan Top50,20100430,   40.65,     5323
0056   ,PTD          ,20100430,   15.39,      371
0050   ,Yuanta Taiwan Top50,20100503,   40.39,     5880
0056   ,PTD          ,20100503,   15.36,      325
0050   ,Yuanta Taiwan Top50,20100504,   40.43,    10132
0056   ,PTD          ,20100504,   15.35,      164
0050   ,Yuanta Taiwan Top50,20100505,   39.31,    20067
0056   ,PTD          ,20100505,   15.11,      225
0050   ,Yuanta Taiwan Top50,20100506,   38.53,    30653
0056   ,PTD          ,20100506,   14.96,      193
0050   ,Yuanta Taiwan Top50,20100507,   38.53,    28001
0056   ,PTD          ,20100507,   14.83,      304
0050   ,Yuanta Taiwan Top50,20100510,   38.87,    11114
0056   ,PTD          ,20100510,   14.96,       66
0050   ,Yuanta Taiwan Top50,20100511,   38.72,     9244
0056   ,PTD          ,20100511,   14.84,      109
0050   ,Yuanta Taiwan Top50,20100512,   38.65,     7850
0056   ,PTD          ,20100512,   14.84,       20
0050   ,Yuanta Taiwan Top50,20100513,   39.50,     8130
0056   ,PTD          ,20100513,   14.99,      119
0050   ,Yuanta Taiwan Top50,20100514,   39.39,    12843
0056   ,PTD          ,20100514,   15.07,       15
0050   ,Yuanta Taiwan Top50,20100517,   38.50,    12090
0056   ,PTD          ,20100517,   14.77,      103
0050   ,Yuanta Taiwan Top50,20100518,   38.57,     5846
0056   ,PTD          ,20100518,   14.74,      108
0050   ,Yuanta Taiwan Top50,20100519,   38.16,    15988
0056   ,PTD          ,20100519,   14.88,      149
0050   ,Yuanta Taiwan Top50,20100520,   37.68,    13856
0056   ,PTD          ,20100520,   14.70,      212
0050   ,Yuanta Taiwan Top50,20100521,   36.90,    29922
0056   ,PTD          ,20100521,   14.37,      562
0050   ,Yuanta Taiwan Top50,20100524,   37.42,     6297
0056   ,PTD          ,20100524,   14.48,       93
0050   ,Yuanta Taiwan Top50,20100525,   36.43,    23038
0056   ,PTD          ,20100525,   14.11,      340
0050   ,Yuanta Taiwan Top50,20100526,   36.58,    14716
0056   ,PTD          ,20100526,   14.14,      147
0050   ,Yuanta Taiwan Top50,20100527,   36.84,    15866
0056   ,PTD          ,20100527,   14.24,      214
0050   ,Yuanta Taiwan Top50,20100528,   36.99,     9410
0056   ,PTD          ,20100528,   14.34,      136
0050   ,Yuanta Taiwan Top50,20100531,   37.16,     4494
0056   ,PTD          ,20100531,   14.42,       87
0050   ,Yuanta Taiwan Top50,20100601,   36.96,     5340
0056   ,PTD          ,20100601,   14.37,       45
0050   ,Yuanta Taiwan Top50,20100602,   36.38,     8608
0056   ,PTD          ,20100602,   14.19,      205
0050   ,Yuanta Taiwan Top50,20100603,   37.24,     5437
0056   ,PTD          ,20100603,   14.37,       68
0050   ,Yuanta Taiwan Top50,20100604,   37.12,     3336
0056   ,PTD          ,20100604,   14.33,       47
0050   ,Yuanta Taiwan Top50,20100607,   36.15,    15955
0056   ,PTD          ,20100607,   14.17,      107
0050   ,Yuanta Taiwan Top50,20100608,   36.02,     6856
0056   ,PTD          ,20100608,   14.19,      100
0050   ,Yuanta Taiwan Top50,20100609,   35.74,     7602
0056   ,PTD          ,20100609,   14.20,       45
0050   ,Yuanta Taiwan Top50,20100610,   36.23,     5685
0056   ,PTD          ,20100610,   14.26,       35
0050   ,Yuanta Taiwan Top50,20100611,   36.81,     5728
0056   ,PTD          ,20100611,   14.42,       44
0050   ,Yuanta Taiwan Top50,20100614,   37.35,     5855
0056   ,PTD          ,20100614,   14.44,       67
0050   ,Yuanta Taiwan Top50,20100615,   37.61,     7668
0056   ,PTD          ,20100615,   14.60,      361
0050   ,Yuanta Taiwan Top50,20100617,   37.87,     5964
0056   ,PTD          ,20100617,   14.67,      254
0050   ,Yuanta Taiwan Top50,20100618,   37.76,     3037
0056   ,PTD          ,20100618,   14.69,       65
0050   ,Yuanta Taiwan Top50,20100621,   38.57,    15785
0056   ,PTD          ,20100621,   14.87,       98
0050   ,Yuanta Taiwan Top50,20100622,   38.35,     5261
0056   ,PTD          ,20100622,   14.87,       74
0050   ,Yuanta Taiwan Top50,20100623,   37.94,     7660
0056   ,PTD          ,20100623,   14.73,      191
0050   ,Yuanta Taiwan Top50,20100624,   38.05,     5788
0056   ,PTD          ,20100624,   14.80,       62
0050   ,Yuanta Taiwan Top50,20100625,   37.53,     6622
0056   ,PTD          ,20100625,   14.66,      189
0050   ,Yuanta Taiwan Top50,20100628,   37.68,     3671
0056   ,PTD          ,20100628,   14.67,       58
0050   ,Yuanta Taiwan Top50,20100629,   37.46,    11618
0056   ,PTD          ,20100629,   14.58,       73
0050   ,Yuanta Taiwan Top50,20100630,   36.75,    13175
0056   ,PTD          ,20100630,   14.44,      132
0050   ,Yuanta Taiwan Top50,20100701,   36.49,    12171
0056   ,PTD          ,20100701,   14.40,       55
0050   ,Yuanta Taiwan Top50,20100702,   36.71,     6189
0056   ,PTD          ,20100702,   14.53,      319
0050   ,Yuanta Taiwan Top50,20100705,   37.46,     3757
0056   ,PTD          ,20100705,   14.62,      130
0050   ,Yuanta Taiwan Top50,20100706,   38.13,     9876
0056   ,PTD          ,20100706,   14.84,      172
0050   ,Yuanta Taiwan Top50,20100707,   38.05,     4454
0056   ,PTD          ,20100707,   14.92,      152
0050   ,Yuanta Taiwan Top50,20100708,   38.61,    12063
0056   ,PTD          ,20100708,   15.13,      263
0050   ,Yuanta Taiwan Top50,20100709,   38.83,     8071
0056   ,PTD          ,20100709,   15.16,      191
0050   ,Yuanta Taiwan Top50,20100712,   38.79,     8957
0056   ,PTD          ,20100712,   15.18,      182
