"","CO_ID","CoName","Date","Close","Volume"
"1","0050   ","Yuanta Taiwan Top50",20100104,41.91,20083
"2","0056   ","PTD          ",20100104,15.49,281
"3","0050   ","Yuanta Taiwan Top50",20100105,41.91,16453
"4","0056   ","PTD          ",20100105,15.42,711
"5","0050   ","Yuanta Taiwan Top50",20100106,42.69,19012
"6","0056   ","PTD          ",20100106,15.66,402
"7","0050   ","Yuanta Taiwan Top50",20100107,42.58,14110
"8","0056   ","PTD          ",20100107,15.52,1223
"9","0050   ","Yuanta Taiwan Top50",20100108,42.84,11342
"10","0056   ","PTD          ",20100108,15.69,354
"11","0050   ","Yuanta Taiwan Top50",20100111,42.95,11581
"12","0056   ","PTD          ",20100111,15.85,628
"13","0050   ","Yuanta Taiwan Top50",20100112,42.72,7306
"14","0056   ","PTD          ",20100112,15.77,193
"15","0050   ","Yuanta Taiwan Top50",20100113,42.09,16686
"16","0056   ","PTD          ",20100113,15.6,269
"17","0050   ","Yuanta Taiwan Top50",20100114,42.61,9978
"18","0056   ","PTD          ",20100114,15.82,416
"19","0050   ","Yuanta Taiwan Top50",20100115,42.87,8425
"20","0056   ","PTD          ",20100115,15.9,364
"21","0050   ","Yuanta Taiwan Top50",20100118,42.65,5019
"22","0056   ","PTD          ",20100118,15.83,304
"23","0050   ","Yuanta Taiwan Top50",20100119,42.09,6724
"24","0056   ","PTD          ",20100119,15.81,198
"25","0050   ","Yuanta Taiwan Top50",20100120,41.83,23397
"26","0056   ","PTD          ",20100120,15.62,746
"27","0050   ","Yuanta Taiwan Top50",20100121,41.5,13862
"28","0056   ","PTD          ",20100121,15.47,207
"29","0050   ","Yuanta Taiwan Top50",20100122,40.35,29477
"30","0056   ","PTD          ",20100122,15.19,281
"31","0050   ","Yuanta Taiwan Top50",20100125,40.2,12845
"32","0056   ","PTD          ",20100125,15.13,184
"33","0050   ","Yuanta Taiwan Top50",20100126,39.28,26395
"34","0056   ","PTD          ",20100126,14.86,1136
"35","0050   ","Yuanta Taiwan Top50",20100127,39.24,14855
"36","0056   ","PTD          ",20100127,14.57,396
"37","0050   ","Yuanta Taiwan Top50",20100128,40.09,12622
"38","0056   ","PTD          ",20100128,14.82,159
"39","0050   ","Yuanta Taiwan Top50",20100129,39.31,13799
"40","0056   ","PTD          ",20100129,14.73,240
"41","0050   ","Yuanta Taiwan Top50",20100201,38.87,19637
"42","0056   ","PTD          ",20100201,14.59,142
"43","0050   ","Yuanta Taiwan Top50",20100202,38.46,11987
"44","0056   ","PTD          ",20100202,14.5,328
"45","0050   ","Yuanta Taiwan Top50",20100203,39.13,13598
"46","0056   ","PTD          ",20100203,14.68,173
"47","0050   ","Yuanta Taiwan Top50",20100204,38.98,5940
"48","0056   ","PTD          ",20100204,14.63,136
"49","0050   ","Yuanta Taiwan Top50",20100205,37.64,24216
"50","0056   ","PTD          ",20100205,13.98,518
"51","0050   ","Yuanta Taiwan Top50",20100206,37.98,20632
"52","0056   ","PTD          ",20100206,14.07,289
"53","0050   ","Yuanta Taiwan Top50",20100208,37.72,18165
"54","0056   ","PTD          ",20100208,14.07,262
"55","0050   ","Yuanta Taiwan Top50",20100209,38.24,11269
"56","0056   ","PTD          ",20100209,14.34,208
"57","0050   ","Yuanta Taiwan Top50",20100210,38.65,11276
"58","0056   ","PTD          ",20100210,14.47,223
"59","0050   ","Yuanta Taiwan Top50",20100222,39.02,11224
"60","0056   ","PTD          ",20100222,14.57,241
"61","0050   ","Yuanta Taiwan Top50",20100223,39.02,9598
"62","0056   ","PTD          ",20100223,14.69,152
"63","0050   ","Yuanta Taiwan Top50",20100224,38.76,11037
"64","0056   ","PTD          ",20100224,14.55,145
"65","0050   ","Yuanta Taiwan Top50",20100225,38.31,20470
"66","0056   ","PTD          ",20100225,14.48,146
"67","0050   ","Yuanta Taiwan Top50",20100226,38.24,9391
"68","0056   ","PTD          ",20100226,14.44,146
"69","0050   ","Yuanta Taiwan Top50",20100301,39.16,13647
"70","0056   ","PTD          ",20100301,14.73,156
"71","0050   ","Yuanta Taiwan Top50",20100302,39.05,9997
"72","0056   ","PTD          ",20100302,14.6,125
"73","0050   ","Yuanta Taiwan Top50",20100303,39.05,8764
"74","0056   ","PTD          ",20100303,14.7,88
"75","0050   ","Yuanta Taiwan Top50",20100304,38.72,8149
"76","0056   ","PTD          ",20100304,14.6,54
"77","0050   ","Yuanta Taiwan Top50",20100305,39.28,13619
"78","0056   ","PTD          ",20100305,14.77,83
"79","0050   ","Yuanta Taiwan Top50",20100308,39.79,16985
"80","0056   ","PTD          ",20100308,14.96,119
"81","0050   ","Yuanta Taiwan Top50",20100309,39.91,7770
"82","0056   ","PTD          ",20100309,14.89,136
"83","0050   ","Yuanta Taiwan Top50",20100310,39.91,6842
"84","0056   ","PTD          ",20100310,14.96,94
"85","0050   ","Yuanta Taiwan Top50",20100311,39.79,6657
"86","0056   ","PTD          ",20100311,14.82,122
"87","0050   ","Yuanta Taiwan Top50",20100312,39.76,12617
"88","0056   ","PTD          ",20100312,14.77,42
"89","0050   ","Yuanta Taiwan Top50",20100315,39.2,10347
"90","0056   ","PTD          ",20100315,14.65,189
"91","0050   ","Yuanta Taiwan Top50",20100316,39.39,13206
"92","0056   ","PTD          ",20100316,14.68,126
"93","0050   ","Yuanta Taiwan Top50",20100317,40.17,14910
"94","0056   ","PTD          ",20100317,14.83,149
"95","0050   ","Yuanta Taiwan Top50",20100318,40.35,8609
"96","0056   ","PTD          ",20100318,14.93,142
"97","0050   ","Yuanta Taiwan Top50",20100319,40.24,5394
"98","0056   ","PTD          ",20100319,14.95,85
"99","0050   ","Yuanta Taiwan Top50",20100322,39.83,7376
"100","0056   ","PTD          ",20100322,14.96,103
"101","0050   ","Yuanta Taiwan Top50",20100323,39.57,8078
"102","0056   ","PTD          ",20100323,14.93,157
"103","0050   ","Yuanta Taiwan Top50",20100324,39.68,19134
"104","0056   ","PTD          ",20100324,14.93,106
"105","0050   ","Yuanta Taiwan Top50",20100325,39.68,14547
"106","0056   ","PTD          ",20100325,14.96,124
"107","0050   ","Yuanta Taiwan Top50",20100326,40.05,11520
"108","0056   ","PTD          ",20100326,14.96,109
"109","0050   ","Yuanta Taiwan Top50",20100329,40.43,16278
"110","0056   ","PTD          ",20100329,14.97,196
"111","0050   ","Yuanta Taiwan Top50",20100330,40.39,7592
"112","0056   ","PTD          ",20100330,14.96,212
"113","0050   ","Yuanta Taiwan Top50",20100331,40.24,10909
"114","0056   ","PTD          ",20100331,15.03,99
"115","0050   ","Yuanta Taiwan Top50",20100401,40.61,12561
"116","0056   ","PTD          ",20100401,15.14,139
"117","0050   ","Yuanta Taiwan Top50",20100402,40.61,5653
