"","0050","0056","006205","00646"
"1",53.29,18.25,31.06,19.61
"2",53.33,18.38,31.59,19.63
"3",54.14,18.56,31.6,19.89
"4",54.77,18.81,32.23,20.05
"5",54.5,18.95,32.18,19.85
"6",54.41,19.02,33,19.64
"7",54.54,18.95,33.1,19.72
"8",54.63,19,33.11,19.8
"9",54.9,18.97,32.8,19.99
"10",55.26,18.99,33.05,19.99
"11",55.13,19,32.6,19.97
"12",54.72,18.95,32.01,19.98
"13",54.32,18.85,31.73,20.1
"14",54.5,18.86,32.01,20.06
"15",53.42,18.54,30.48,19.79
"16",52.97,18.5,29.81,19.74
"17",52.44,18.21,30.14,19.62
"18",51.45,18.38,28.08,19.43
"19",51.54,18.15,29.32,19.32
"20",50.73,17.8,28.13,19.01
"21",50.69,17.87,27.9,18.99
"22",51.27,17.89,28.06,19.32
"23",50.87,17.78,27.46,18.81
"24",50.87,17.78,27.08,18.97
"25",51.22,17.93,27.55,18.78
"26",51.36,17.9,28.08,18.9
"27",50.15,17.77,27.46,18.49
"28",50.06,17.62,27.47,18.58
"29",50.73,17.7,27.36,18.77
"30",51.63,17.93,27.61,18.97
"31",51.13,17.92,26.95,18.68
"32",51.36,17.96,25.52,18.9
"33",51.63,18.14,25.4,18.83
"34",52.93,18.42,25.94,18.96
"35",53.42,18.6,26.47,19.28
"36",53.42,18.63,25.46,19.17
"37",53.24,18.75,25.73,19.03
"38",52.88,18.66,25.47,18.83
"39",52.93,18.64,25.67,18.5
"40",54.05,18.78,26.78,18.66
"41",53.78,18.85,26.5,18.65
"42",54.63,19.09,26.94,19.02
"43",54.59,19.2,26.76,18.94
"44",54.54,19.14,27.28,18.99
"45",54.59,19.18,26.99,19.06
"46",54.09,19.12,26.83,18.89
"47",54.81,19.2,26.28,19.05
"48",54.95,19.41,25.74,19.21
"49",55.49,19.53,25.41,18.99
"50",55.93,19.58,26.4,19.41
"51",56.47,19.68,26.7,19.47
"52",56.61,19.65,26.99,19.44
"53",56.61,19.66,27.18,19.37
"54",56.56,19.5,26.78,19.35
"55",56.61,19.5,26.87,19.34
"56",56.74,19.61,27.11,19.45
"57",57.01,19.64,26.72,19.49
"58",57.41,19.7,27.3,19.6
